review,sentiment
two hours I will never get back. in addition a predictable and cliche story. honestly the dialogue was awful.,0
incredibly well paced and entertaining. furthermore outstanding performance by the lead actor.,1
Watched it last night. I nearly fell asleep watching it. the cast was the special effects were laughably bad. in addition the film had some interesting moments. furthermore fell apart completely in the third act. and also the plot made absolutely no sense.,0
Watched it last night. the plot twists were spectacular. furthermore beautifully crafted story. honestly kept me on the edge of my seat. I felt that kept me on the edge of my seat.,1
wooden performances from the entire cast. and also poorly directed mess of a film. the cast was painfully boring and slow paced. the story was could not connect with any character.,0
a soulless cash grab movie. to be honest no originality whatsoever.,0
Saw this with family. visually stunning with great cinematography. honestly heartwarming and genuinely touching. and also a joy to watch from start to finish. in addition heartwarming and genuinely touching.,1
Would not recommend. poorly directed mess of a film. and also the plot made absolutely no sense. furthermore the director tried something different. to be honest one of the worst films ever made.,0
Would not recommend. the plot twists were spectacular. in addition kept me on the edge of my seat. the story was a must watch for everyone. the story was incredibly well paced and entertaining.,1
painfully boring and slow paced. in addition terrible acting throughout. to be honest no originality whatsoever.,0
a must watch for everyone. in addition kept me on the edge of my seat.,1
the dialogue was awful. I felt that two hours I will never get back. and also one of the worst films ever made.,0
terrible acting throughout. I felt that poorly directed mess of a film.,0
Watched it last night. absolutely brilliant film. and also absolutely brilliant film.,1
masterpiece of modern cinema. honestly absolutely brilliant film.,1
beautifully crafted story. I felt that the film had some interesting moments. in addition outstanding performance by the lead actor. in addition a triumph of storytelling.,1
absolutely brilliant film. furthermore outstanding performance by the lead actor.,1
a joy to watch from start to finish. and also visually stunning with great cinematography.,1
one of the worst films ever made. honestly the plot made absolutely no sense.,0
the plot made absolutely no sense. I felt that do not waste your time. to be honest the dialogue was awful. furthermore incredibly frustrating and unsatisfying.,0
the film had some interesting moments. the story was superb direction and writing. and also visually stunning with great cinematography.,1
poorly directed mess of a film. furthermore incredibly frustrating and unsatisfying. and also I nearly fell asleep watching it. the cast was the script was badly written.,0
painfully boring and slow paced. I felt that complete waste of time and money.,0
Would not recommend. incredibly frustrating and unsatisfying. I felt that do not waste your time.,0
Would recommend. two hours I will never get back. and also painfully boring and slow paced. honestly the dialogue was awful.,0
masterpiece of modern cinema. furthermore visually stunning with great cinematography. furthermore masterpiece of modern cinema. in addition kept me on the edge of my seat. furthermore the director tried something different.,0
the script was badly written. honestly two hours I will never get back. in addition complete waste of time and money.,0
emotionally powerful and moving. furthermore deeply moving and memorable experience. the story was some scenes were memorable. the cast was heartwarming and genuinely touching.,1
Would recommend. one of the best films I have seen. to be honest excellent script and direction. and also the plot twists were spectacular. to be honest masterpiece of modern cinema.,1
the director tried something different. honestly a triumph of storytelling. in addition kept me on the edge of my seat.,1
kept me on the edge of my seat. I felt that incredibly well paced and entertaining. the story was incredibly well paced and entertaining. the cast was the plot twists were spectacular.,1
outstanding performance by the lead actor. I felt that one of the best films I have seen. the story was emotionally powerful and moving.,1
the director tried something different. and also beautifully crafted story. furthermore a joy to watch from start to finish.,1
beautifully crafted story. in addition the acting was phenomenal throughout. to be honest deeply moving and memorable experience. honestly the acting was phenomenal throughout.,1
